"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
18,19,1953,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Diamonds-L","Size-Diamonds-H","Brightness-Triangles-H","Brightness-Triangles-L",1,"Pilot"
19,20,2121,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-H","Color-YB-L","Brightness-Triangles-H","Brightness-Triangles-L",0,"Pilot"
20,21,1791,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RY-H","Color-RY-L","Size-Triangles-L","Size-Triangles-H",1,"Pilot"
21,22,6628,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-L","Size-Squares-H","Noise-Hum-H","Noise-Hum-L",1,"Pilot"
22,23,3033,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Speed-SP4-H","Speed-SP4-L","Size-Triangles-H","Size-Triangles-L",1,"Pilot"
23,24,3883,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Diamonds-H","Size-Diamonds-L","Affect-EB-L","Affect-EB-H",1,"Pilot"
24,25,4732,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-H","Noise-Hum-L","Color-RB-H","Color-RB-L",1,"Pilot"
25,26,6893,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Piano-L","Pitch-Piano-H","Shape-BK2-L","Shape-BK2-H",0,"Pilot"
26,27,2025,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Brightness-Triangles-L","Brightness-Triangles-H","Size-Triangles-H","Size-Triangles-L",1,"Pilot"
27,28,5496,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-L","Pitch-Hum-H","Amp-Tone-L","Amp-Tone-H",1,"Pilot"
28,29,2705,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-L","Color-RG-H","Speed-SP4-H","Speed-SP4-L",1,"Pilot"
29,30,4221,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-H","Amp-Tone-L","Color-RB-L","Color-RB-H",1,"Pilot"
30,31,3336,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Shape-BK2-L","Shape-BK2-H",1,"Pilot"
31,32,3697,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Affect-EB-H","Affect-EB-L",0,"Pilot"
32,33,3967,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-H","Noise-Hum-L","Size-Triangles-H","Size-Triangles-L",0,"Pilot"
33,34,4430,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Affect-EB-H","Affect-EB-L","Pitch-Pulse-L","Pitch-Pulse-H",1,"Pilot"
34,35,4556,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-L","Pitch-Hum-H","Speed-SP4-L","Speed-SP4-H",1,"Pilot"
35,36,3297,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-L","Color-RG-H","Size-Squares-L","Size-Squares-H",1,"Pilot"
36,37,4565,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Brightness-Triangles-L","Brightness-Triangles-H","Pitch-Tone-L","Pitch-Tone-H",0,"Pilot"
37,38,4134,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-H","Pitch-Hum-L","Size-Squares-H","Size-Squares-L",1,"Pilot"
38,39,4153,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Brightness-Triangles-L","Brightness-Triangles-H","Color-RB-L","Color-RB-H",0,"Pilot"
39,40,3713,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-H","Color-YB-L","Affect-EB-L","Affect-EB-H",0,"Pilot"
40,41,3337,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Speed-SP4-H","Speed-SP4-L","Color-RB-H","Color-RB-L",0,"Pilot"
41,42,1914,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-H","Color-YB-L","Shape-BK2-L","Shape-BK2-H",1,"Pilot"
42,43,5076,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-L","Color-RG-H","Pitch-Pulse-H","Pitch-Pulse-L",0,"Pilot"
43,44,3789,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RY-L","Color-RY-H","Pitch-Pulse-L","Pitch-Pulse-H",0,"Pilot"
